ind,genPC1_LecPine,genPC2_LecPine,genPC3_LecPine,ID,avg_perc_PP_reads_mapped,MERGED_FINAL_read_count,species,city,state,area,latitude,longitude,host,stage,lcPC1,lcPC2,change_tmax,site_number,grouped_site_number_5km,allele_imbalance,average_depth_coverage,missingness,heterozygosity,pop,admix_prop_k2,lec_blue_k2,pine_orange_k2,lec_blue_k3,pine_orange_k3,lec_purple_k3,lec_blue_k4,pine_orange_k4,lec_purple_k4,lec_green_k4
21074D-06-164,0.0233568,0.0688679,-0.00419613,LL149_AG1,0.96995,39845750,lecontei,Lexington,KY,Central,38.01478,-84.500971,virginia,larva,-2.27238193,-0.28756105,0.373702669,42,32,13.21611,20.7,0.008452106,0.161121097,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9609,0.0391
21074D-06-165,0.023552,0.0713447,-0.00460847,LL150_AG1,0.9314,38395844,lecontei,Lexington,KY,Central,38.01478,-84.500971,virginia,larva,-2.27238193,-0.28756105,0.373702669,42,32,13.72806,20,0.011296843,0.154394021,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-166,0.023357,0.0689874,-0.00436699,LL151_AG1,0.879,39985848,lecontei,Lexington,KY,Central,38.01478,-84.500971,virginia,larva,-2.27238193,-0.28756105,0.373702669,42,32,13.52624,20.6,0.011939203,0.159416748,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9677,0.0322
21074D-06-167,0.0234632,0.0703569,-0.00452551,LL152_AG1,0.9778,41471818,lecontei,Lexington,KY,Central,38.01478,-84.500971,virginia,larva,-2.27238193,-0.28756105,0.373702669,42,32,12.50507,21.4,0.0072833,0.161656312,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-168,0.0234287,0.0714067,-0.00463907,LL153_AG1,0.96935,49504020,lecontei,Lexington,KY,Central,38.01478,-84.500971,virginia,larva,-2.27238193,-0.28756105,0.373702669,42,32,8.96953,26.4,0.001661442,0.15349411,lecontei_KY,0,1,0,0.0898,0,0.9101,0,0,1,0
21074D-06-169,0.0235079,0.0706918,-0.0047053,LL179_AG1,0.93145,35082488,lecontei,Lexington,KY,Central,38.014,-84.504,shortleaf,larva,-2.265811222,-0.288857847,0.378060503,41,32,15.00557,18.4,0.021960985,0.158778679,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-170,0.0227494,0.0654095,-0.00346749,LL180_AG1,0.98015,40086416,lecontei,Goshen,KY,Central,38.402354,-85.585931,shortleaf,larva,-1.016857113,-0.655135045,0.507968447,68,42,13.62943,21.2,0.008630807,0.120957605,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.8611,0.1389
21074D-06-171,0.0227015,0.0650783,-0.00335056,LL181_AG1,0.9566,37723670,lecontei,Goshen,KY,Central,38.402354,-85.585931,shortleaf,larva,-1.016857113,-0.655135045,0.507968447,68,42,15.3855,19.8,0.012117904,0.124860663,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.8568,0.1432
21074D-06-172,0.0227878,0.0632355,-0.00387779,LL194_AG1,0.97305,35416002,lecontei,Slade,KY,Central,37.806022,-83.67789,virginia,larva,0.556663425,-0.878862023,0.316866094,31,28,15.41479,19.1,0.017382359,0.158343573,lecontei_KY,0,1,0,0.1024,0,0.8976,0.0029,0,0.8569,0.1402
21074D-06-173,0.0227432,0.0630597,-0.00391629,LL195_AG1,0.95385,37191108,lecontei,Slade,KY,Central,37.806022,-83.67789,virginia,larva,0.556663425,-0.878862023,0.316866094,31,28,14.09001,19.7,0.014378239,0.159473127,lecontei_KY,0,1,0,0.1041,0,0.8959,0.0043,0,0.8539,0.1419
21074D-06-174,0.0228035,0.0634853,-0.00409944,NL011_F3,0.9831,40492294,lecontei,Hilda,KY,Central,38.2409154,-83.5102133,virginia,adultF,-0.177031813,-1.281612307,0.227013642,63,40,13.22224,21,0.007336428,0.159057072,lecontei_KY,0,1,0,0.1041,0,0.8959,0.0051,0,0.8559,0.1391
21074D-06-175,0.0236298,0.0709693,-0.00435674,NL064_F1,0.9847,39228400,lecontei,Lexington,KY,Central,38.0939,-84.5545,loblolly,adultF,-2.321159475,-0.974585742,0.348717466,55,35,14.90646,20.3,0.010234292,0.133177182,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-176,0.0197356,0.0441895,-0.000859304,NL067_F2,0.9761,42659438,lecontei,Gainseville,FL,Central,29.624,-82.3082,longleaf,adultF,0.537133679,0.360823296,0.437152942,1,1,16.31857,20.1,0.022410154,0.116101557,lecontei_FL,0.0062,0.9938,0.0062,0.175,0,0.825,0.0237,0,0.2899,0.6864
21074D-06-177,0.0199989,0.0439963,-0.00100788,NL069_F2,0.9781,36504818,lecontei,Gainseville,FL,Central,29.6703,-82.2558,longleaf,adultF,0.943262098,1.017656417,0.47266647,2,2,19.85566,18.6,0.021883709,0.089700669,lecontei_FL,0.0057,0.9943,0.0057,0.1773,0,0.8227,0.024,0,0.2891,0.6869
21074D-06-178,0.0198754,0.0427894,-0.00151783,NL071_AG1,0.98255,39121384,lecontei,Scottsville,VA,Central,37.890181,-78.384636,virginia,larva,3.353646917,-0.998605526,0.81542003,32,29,12.40308,20.8,0.010388845,0.169957735,lecontei_VA,0.0149,0.9851,0.0149,0.193,0.006,0.801,0.0295,0.0011,0.316,0.6535
21074D-06-179,0.0202458,0.0440998,-0.000955108,NL072_F4,0.9837,37036242,lecontei,Swansboro,NC,Central,34.693461,-77.168331,longleaf,adultF,0.738420311,0.987844175,-0.164522044,3,3,15.26492,19.5,0.014808089,0.134364138,lecontei_NC,0.0049,0.9951,0.0049,0.1781,0,0.8219,0.0249,0,0.2888,0.6862
21074D-06-180,0.0202037,0.044492,-0.0010901,NL073_F2,0.98355,36855408,lecontei,Swansboro,NC,Central,34.693461,-77.168331,longleaf,adultF,0.738420311,0.987844175,-0.164522044,3,3,16.47717,19,0.018512526,0.133641052,lecontei_NC,0.0047,0.9953,0.0047,0.1756,0,0.8244,0.0238,0,0.2897,0.6864
21074D-06-181,0.0203139,0.0434965,-0.00126355,NL074_F6,0.9838,37442082,lecontei,Virginia_Beach,VA,Central,36.912924,-75.996487,loblolly,adultF,-1.040393392,5.404074206,0.832664008,18,17,14.94426,19.3,0.014276814,0.139647122,lecontei_VA,0.0046,0.9954,0.0046,0.1847,0,0.8153,0.0267,0,0.2865,0.6867
21074D-06-182,0.0204007,0.0433371,-0.00111554,NL076_F1,0.9814,39125612,lecontei,Virginia_Beach,VA,Central,36.916399,-76.040295,longleaf,adultF,-1.090202479,4.572330075,0.846133705,19,17,14.62804,20.1,0.011456225,0.139659073,lecontei_VA,0.0045,0.9955,0.0045,0.1866,0,0.8134,0.0268,0,0.2859,0.6873
21074D-06-183,0.0233273,0.0700134,-0.00419288,NL082_F5,0.9809,38549600,lecontei,Lexington,KY,Central,38.0938813,-84.5537273,loblolly,adultF,-2.325174375,-0.970176281,0.342102499,54,35,14.39101,19.9,0.010910461,0.152595342,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9894,0.0106
21074D-06-184,0.0236162,0.07074,-0.00432276,NL083_F8,0.98355,38692622,lecontei,Lexington,KY,Central,38.0938813,-84.5537273,loblolly,adultF,-2.325174375,-0.970176281,0.342102499,54,35,14.6878,19.7,0.013702071,0.148326249,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-185,0.0234635,0.0701259,-0.00437737,NL085_F2,0.98275,40201680,lecontei,Lexington,KY,Central,38.0938813,-84.5537273,loblolly,adultF,-2.325174375,-0.970176281,0.342102499,54,35,13.6656,20.8,0.007858043,0.140023951,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-186,0.0234548,0.0705925,-0.004372,NL086_F1,0.9847,46184644,lecontei,Lexington,KY,Central,38.0938813,-84.5537273,loblolly,adultF,-2.325174375,-0.970176281,0.342102499,54,35,10.74493,23.5,0.00300895,0.14593123,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-187,0.0232327,0.0709823,-0.00377145,NL089_F2,0.98435,42541590,lecontei,Lexington,KY,Central,38.0938813,-84.5537273,loblolly,adultF,-2.325174375,-0.970176281,0.342102499,54,35,13.29875,21.7,0.005158199,0.133318122,lecontei_KY,0.0018,0.9982,0.0018,0.0898,0,0.9102,0,0,1,0
21074D-06-188,0.0235691,0.0704503,-0.00444647,NL090,0.98685,45820118,lecontei,Lexington,KY,Central,38.0938813,-84.5537273,loblolly,adultF,-2.325174375,-0.970176281,0.342102499,54,35,13.01431,23.2,0.003289076,0.129070399,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-189,0.0233618,0.0697085,-0.00419178,NL093_F1,0.9855,43580984,lecontei,Lexington,KY,Central,38.0938813,-84.5537273,loblolly,adultF,-2.325174375,-0.970176281,0.342102499,54,35,12.06238,21.8,0.004945689,0.15174372,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9921,0.0079
21074D-06-190,0.0234064,0.0705349,-0.00435333,NL095_F2,0.9813,45773572,lecontei,Lexington,KY,Central,38.0938813,-84.5537273,loblolly,adultF,-2.325174375,-0.970176281,0.342102499,54,35,11.00196,23.7,0.002830248,0.154303677,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9988,0.0011
21074D-06-191,0.0231091,0.0650926,-0.00424645,NL097_AG1,0.9304,45266534,lecontei,Lancaster,OH,Central,39.66042,-82.66602,virginia,larva,-0.95893198,-1.504559442,0.623860634,80,54,12.66097,23.7,0.004197074,0.119914638,lecontei_OH,0,1,0,0.1004,0,0.8996,0.0032,0,0.8877,0.1091
21074D-06-192,0.0231561,0.0651216,-0.00440104,NL106_AG1,0.96245,44694908,lecontei,Lancaster,OH,Central,39.66042,-82.66602,virginia,larva,-0.95893198,-1.504559442,0.623860634,80,54,14.02467,23.6,0.003767224,0.100053813,lecontei_OH,0,1,0,0.0992,0,0.9008,0.0023,0,0.8892,0.1086
21074D-06-241,-0.0892803,-0.0034158,0.120141,NP003_AG1,0.9294,33020214,pinetum,Crossville,TN,Central,35.98003,-85.01518,white,larva,-0.248720963,-0.322812194,0.325324082,11,10,30.84072,17.5,0.039695917,0.088311623,pinetum_TN,0.0079,0.0079,0.9921,0,0.9006,0.0993,0,0.7806,0.0011,0.2182
21074D-06-242,-0.089202,-0.00261146,0.135363,NP005_AG1,0.95545,34240080,pinetum,Lexington,KY,Central,38.041545,-84.441641,white,larva,-2.281881439,-0.725575222,0.370626336,49,34,25.47973,18.7,0.027017759,0.105666278,pinetum_KY,0.0079,0.0079,0.9921,0,0.9002,0.0998,0,0.7817,0.0083,0.21
21074D-06-243,-0.095555,-0.00788196,0.00179204,NP021_AG1,0.9371,32920642,pinetum,Walton,KY,Central,38.857269,-84.617782,white,larva,-1.129056947,-0.336425951,0.351640241,72,46,22.31941,17.8,0.034817845,0.143069456,pinetum_KY,0.0014,0.0014,0.9986,0,0.9526,0.0474,0,0.8972,0.0056,0.0971
21074D-06-244,-0.096521,-0.00866346,-0.030032,NP022_AG1,0.9586,35971286,pinetum,Walton,KY,Central,38.857269,-84.617782,white,larva,-1.129056947,-0.336425951,0.351640241,72,46,22.53315,19.4,0.020371989,0.117994784,pinetum_KY,0.0092,0.0092,0.9908,8.00E-04,0.9587,0.0405,0,0.9181,0.0107,0.0712
21074D-06-245,-0.0950413,-0.00813094,-0.0358603,NP023_AG1,0.9619,33840166,pinetum,Walton,KY,Central,38.857269,-84.617782,white,larva,-1.129056947,-0.336425951,0.351640241,72,46,23.93271,18.5,0.027520056,0.126763711,pinetum_KY,0.0152,0.0152,0.9848,0.0014,0.9527,0.0459,0,0.9136,0.016,0.0704
21074D-06-246,-0.0906715,-0.00340583,0.13143,NP045_F1,0.9535,34857118,pinetum,Georgetown,KY,Central,38.24932,-84.549175,white,adultF,-2.179329207,-0.90617855,0.369226066,65,41,21.80778,18.5,0.026843887,0.106108958,pinetum_KY,0,0,1,0,0.91,0.09,0,0.79,0,0.21
21074D-06-247,-0.0331667,0.0337828,0.0653717,NP046_AG1,0.96675,34153408,F1 hybrid,Lexington,KY,Central,38.0916,-84.5602,white,larva,-2.316876747,-1.036110414,0.349996423,52,35,12.80962,18.1,0.027201291,0.512513839,pinetum_KY,0.507,0.507,0.493,0.0441,0.4287,0.5272,0,0.3796,0.5178,0.1026
21074D-06-248,-0.100404,-0.0120163,-0.125268,NP049_AG1,0.9561,34508634,pinetum,Octa,OH,Central,39.618801,-83.603688,white,larva,-2.356617443,-1.317452859,0.5221441,77,51,40.55498,18.8,0.028428053,0.049696018,pinetum_OH,0,0,1,0,0.9972,0.0028,0,0.9967,0.0032,0
21074D-06-249,-0.0901584,-0.00305147,0.135212,NP057_AG1,0.88435,36155862,pinetum,Lexington,KY,Central,38.002862,-84.525032,white,larva,-2.239129658,-0.371303859,0.389395831,40,32,23.68971,19,0.022052751,0.101450492,pinetum_KY,0.0084,0.0084,0.9916,0,0.9004,0.0996,0,0.7818,0.0073,0.2109
21074D-06-250,-0.0886901,-0.00238977,0.131125,NP058_AG1,0.63795,23421552,pinetum,Lexington,KY,Central,38.055704,-84.528322,white,larva,-2.327445815,-0.570894782,0.368324797,51,32,31.1089,12.5,0.230636226,0.106644235,pinetum_KY,0.0116,0.0116,0.9884,0,0.8973,0.1027,0,0.7793,0.0107,0.21
21074D-06-251,-0.10254,-0.0135046,-0.128857,NP073,0.9676,35979140,pinetum,Georgetown,KY,Central,38.248397,-84.54513,white,adultF,-2.182424808,-0.744070692,0.400122281,64,41,41.40989,17.8,0.034305889,0.03955568,pinetum_KY,0,0,1,0,1,0,0,1,0,0
21074D-06-252,-0.0909938,-0.00349775,0.131262,NP145_F6,0.96105,35669760,pinetum,Lexington,KY,Central,38.032384,-84.565478,white,adultF,-2.214207119,-0.639701016,0.378169649,46,33,24.47641,18.9,0.023178088,0.107174289,pinetum_KY,0,0,1,0,0.91,0.09,0,0.79,0,0.21
21074D-06-253,-0.100342,-0.0119611,-0.125004,NP159_AG1,0.8818,34649718,pinetum,Octa,OH,Central,39.618801,-83.603688,white,larva,-2.356617443,-1.317452859,0.5221441,77,51,37.40888,18.4,0.029157349,0.048738384,pinetum_OH,0,0,1,0,1,0,0,1,0,0
21074D-06-254,-0.100657,-0.0122389,-0.124713,NP168_AG1,0.8731,34990820,pinetum,Octa,OH,Central,39.618801,-83.603688,white,larva,-2.356617443,-1.317452859,0.5221441,77,51,40.3355,18.4,0.028655053,0.049757354,pinetum_OH,0,0,1,0,1,0,0,1,0,0
21074D-06-255,-0.0903135,-0.00342486,0.136431,NP173,0.96075,36964560,pinetum,Lexington,KY,Central,38.032384,-84.565478,white,adultF,-2.214207119,-0.639701016,0.378169649,46,33,26.49966,19.3,0.020338181,0.084860825,pinetum_KY,0,0,1,0,0.91,0.09,0,0.79,0,0.21
21074D-06-256,-0.0901238,-0.00318351,0.134437,NP174_F2,0.96955,36203050,pinetum,Lexington,KY,Central,38.032384,-84.565478,white,adultF,-2.214207119,-0.639701016,0.378169649,46,33,24.29278,18.4,0.026892185,0.103245467,pinetum_KY,0,0,1,0,0.91,0.09,0,0.7899,1.00E-04,0.21
21074D-06-257,-0.0896622,-0.00292677,0.130943,NP175,0.96585,34295054,pinetum,Lexington,KY,Central,38.0916,-84.5602,white,adultF,-2.316876747,-1.036110414,0.349996423,52,35,26.54138,17.3,0.039333684,0.10372791,pinetum_KY,0.0069,0.0069,0.9931,0,0.9013,0.0987,0,0.7825,0.0075,0.21
21074D-06-258,-0.0904614,-0.00320391,0.136745,NP176_AG1,0.9548,35772222,pinetum,Lexington,KY,Central,37.979613,-84.453537,white,larva,-2.201992544,-0.622324668,0.357411335,35,31,26.55155,19,0.027486247,0.095700196,pinetum_KY,0,0,1,0,0.91,0.09,0,0.79,0,0.21
21074D-06-259,-0.0991791,-0.0114514,-0.123831,NP177,0.96875,35746326,pinetum,Jefferson_Township,OH,Central,39.618801,-83.603696,white,adultF,-2.356617443,-1.317452859,0.5221441,77,51,42.12303,17.6,0.035745162,0.045995953,pinetum_OH,0,0,1,0,0.9988,0.0012,0,0.9983,0.0017,0
21074D-06-260,-0.0907196,-0.00382928,0.114333,NP184_F1,0.96845,37058018,pinetum,Frankfort,KY,Central,38.210412,-84.819839,white,adultF,-1.687832334,-1.010420038,0.482986607,61,38,23.58397,18.3,0.029558221,0.118763344,pinetum_KY,0.0116,0.0116,0.9884,0,0.9036,0.0964,0,0.7943,0.0084,0.1973
21074D-06-261,-0.0832328,-0.00407185,0.00447213,NP189_AG1,0.8841,32091402,pinetum,Woodridge,VA,Central,37.893,-78.373,white,larva,3.059923412,-1.133766556,0.811213453,33,29,26.84699,16.9,0.055759748,0.113460594,pinetum_VA,0.0501,0.0501,0.9499,0.0102,0.908,0.0819,0.0017,0.8536,0.0151,0.1297
21074D-06-262,-0.0884868,-0.00652065,-0.000550718,NP190_F4,0.96305,38130920,pinetum,Jordan,NY,North,43.04105,-76.45767,white,adultF,-1.133964303,-0.879968569,0.553117715,103,75,24.09416,19.3,0.020077373,0.099570215,pinetum_NY,0,0,1,0,0.9623,0.0377,0,0.9121,0,0.0879
21074D-06-263,-0.0882514,-0.00656693,-0.00057378,NP191_F2,0.96925,46542044,pinetum,Jordan,NY,North,43.04105,-76.45767,white,adultF,-1.133964303,-0.879968569,0.553117715,103,75,21.2552,22.7,0.008481084,0.097382765,pinetum_NY,0,0,1,0,0.9623,0.0377,0,0.9122,0,0.0878
21074D-06-264,-0.0883273,-0.00662845,-0.00181269,NP192_F3,0.96025,35786092,pinetum,Jordan,NY,North,43.04105,-76.45767,white,adultF,-1.133964303,-0.879968569,0.553117715,103,75,26.05811,18.4,0.028626074,0.098795756,pinetum_NY,0,0,1,0,0.9628,0.0372,0,0.9134,0,0.0866
21074D-06-265,-0.0881191,-0.00680048,-0.000763767,NP193_F9,0.9572,32040772,pinetum,Jordan,NY,North,43.04105,-76.45767,white,adultF,-1.133964303,-0.879968569,0.553117715,103,75,29.51378,16.6,0.054315645,0.085463451,pinetum_NY,0,0,1,0,0.9627,0.0373,0,0.9132,0,0.0868
21074D-06-266,-0.0829768,-0.00426251,0.00402855,NP194_AG1,0.952,35223708,pinetum,Vienna,VA,Central,38.9375511,-77.2816069,white,larva,-0.995656196,-0.650585821,0.484645416,74,48,21.08635,18.9,0.026805249,0.111732564,pinetum_VA,0.0489,0.0489,0.9511,0.0072,0.9089,0.0839,9.00E-04,0.8542,0.0158,0.1291
21074D-06-267,-0.0837161,-0.00473367,0.00331482,NP195_F3,0.96155,37654380,pinetum,Vienna,VA,Central,38.9375511,-77.2816069,white,adultF,-0.995656196,-0.650585821,0.484645416,74,48,22.12118,19.5,0.019174205,0.111907189,pinetum_VA,0.0446,0.0446,0.9554,0.0092,0.9139,0.0768,0.0014,0.8598,0.0134,0.1253
21074D-06-268,-0.0834078,-0.00443952,0.00355553,NP196_AG1,0.9576,37510776,pinetum,Vienna,VA,Central,38.9375511,-77.2816069,white,larva,-0.995656196,-0.650585821,0.484645416,74,48,20.00473,20.1,0.020458925,0.109628081,pinetum_VA,0.044,0.044,0.956,0.0062,0.9138,0.08,8.00E-04,0.8591,0.0143,0.1258
21074D-06-269,-0.0901813,-0.00339505,0.131157,NP197_F6,0.9657,36760932,pinetum,Lexington,KY,Central,38.0999085,-84.5578321,white,adultF,-2.320583659,-1.018955999,0.340338123,57,35,23.53105,19,0.022641983,0.105010353,pinetum_KY,0.0078,0.0078,0.9922,0,0.901,0.099,0,0.782,0.0011,0.2169
21074D-06-270,-0.0895,-0.00262767,0.135059,NP198_F1,0.97075,37423750,pinetum,Lexington,KY,Central,38.031864,-84.56518,white,adultF,-2.214207119,-0.639701016,0.378169649,46,33,24.15838,18.9,0.0252887,0.108724413,pinetum_KY,0.0071,0.0071,0.9929,0,0.9008,0.0992,0,0.782,0.008,0.21
21074D-06-271,-0.0897085,-0.00288148,0.135943,NP199,0.9648,34606670,pinetum,Lexington,KY,Central,38.031864,-84.56518,white,adultF,-2.214207119,-0.639701016,0.378169649,46,33,27.47784,17.7,0.034972398,0.096457599,pinetum_KY,0.0061,0.0061,0.9939,0,0.9021,0.0979,0,0.7832,0.0068,0.21
21074D-06-272,-0.0937408,-0.00927791,-0.050707,NP200_F3,0.96675,34870222,pinetum,Jose_Lake,MI,North,44.478233,-83.836663,white,adultF,1.312194558,0.129675438,0.019803693,137,92,42.07453,17.1,0.048123874,0.082390847,pinetum_MI,0,0,1,0,0.9849,0.015,0,0.9649,0,0.0351
21074D-06-273,-0.0901089,-0.0034062,0.129613,NP201,0.95955,36487650,pinetum,Georgetown,KY,Central,38.250169,-84.5490826,white,adultF,-2.180716395,-0.979657695,0.369226066,66,41,25.18022,18.7,0.024192341,0.107325282,pinetum_KY,0,0,1,0,0.91,0.09,0,0.79,0,0.21
21074D-06-274,-0.0908036,-0.00342957,0.138158,NP205_AG1,0.9589,37558690,pinetum,Lexington,KY,Central,37.985055,-84.426356,white,adultF,-2.140585555,-0.757271854,0.356241841,38,31,24.77441,19.7,0.018357973,0.093836102,pinetum_KY,0,0,1,0,0.91,0.09,0,0.79,0,0.21
21074D-06-275,-0.0895993,-0.00301313,0.136045,NP206_AG1,0.96935,33232960,pinetum,Lexington,KY,Central,37.985055,-84.426356,white,adultF,-2.140585555,-0.757271854,0.356241841,38,31,29.51559,16.7,0.053093712,0.100027543,pinetum_KY,0,0,1,0,0.91,0.09,0,0.79,0,0.21
21074D-06-276,-0.0916192,-0.00422963,0.125208,NP210_AG1,0.96805,35964802,pinetum,Georgetown,KY,Central,38.25022,-84.55082,white,adultF,-2.182827699,-1.031217267,0.383862282,67,41,33.60536,18.4,0.027891948,0.074639546,pinetum_KY,0,0,1,0,0.9128,0.0872,0,0.7965,0,0.2035
21074D-06-277,-0.0905889,-0.00367583,0.126294,NP211_AG1,0.9646,33611244,pinetum,Georgetown,KY,Central,38.25022,-84.55082,white,adultF,-2.182827699,-1.031217267,0.383862282,67,41,27.90707,17.6,0.037416264,0.092969463,pinetum_KY,0,0,1,0,0.9119,0.0881,0,0.7943,0,0.2056
21074D-06-278,-0.0907593,-0.00359813,0.137818,NP212_AG1,0.96405,37979746,pinetum,Lexington,KY,Central,37.985055,-84.426356,white,adultF,-2.140585555,-0.757271854,0.356241841,38,31,26.43049,19.5,0.019082439,0.095003397,pinetum_KY,0,0,1,0,0.91,0.09,0,0.79,0,0.21
21074D-06-279,-0.0904899,-0.00340324,0.133772,NP213_AG1,0.96675,34986228,pinetum,Lexington,KY,Central,38.09983,-84.55747,white,adultF,-2.321066914,-1.017444581,0.340338123,56,35,28.67419,17.7,0.03557129,0.100964524,pinetum_KY,0,0,1,0,0.9046,0.0953,0,0.7853,0.0047,0.21
21074D-06-280,-0.0906037,-0.00353819,0.132125,NP214_AG1,0.9646,34830120,pinetum,Lexington,KY,Central,38.09983,-84.55747,white,adultF,-2.321066914,-1.017444581,0.340338123,56,35,32.23448,17.1,0.048408831,0.096931369,pinetum_KY,0,0,1,0,0.91,0.09,0,0.79,0,0.21
21074D-06-281,-0.0901148,-0.00350835,0.12606,NP218_AG1,0.96515,36026880,pinetum,Georgetown,KY,Central,38.250169,-84.5490826,white,adultF,-2.180716395,-0.979657695,0.369226066,66,41,32.45677,17.7,0.03793305,0.109586084,pinetum_KY,0.0075,0.0075,0.9925,0,0.904,0.096,0,0.789,0.0074,0.2036
21074D-06-282,-0.0914255,-0.00398673,0.126431,NP219_AG1,0.95765,35124424,pinetum,Georgetown,KY,Central,38.250169,-84.5490826,white,adultF,-2.180716395,-0.979657695,0.369226066,66,41,30.104,18.6,0.0267811,0.103551294,pinetum_KY,0,0,1,0,0.9126,0.0874,0,0.796,0,0.204
21074D-06-283,-0.0905816,-0.00361368,0.122372,NP220_AG1,0.967,36793762,pinetum,Georgetown,KY,Central,38.250169,-84.5490826,white,adultF,-2.180716395,-0.979657695,0.369226066,66,41,28.68349,17.9,0.035392588,0.106753922,pinetum_KY,0,0,1,0,0.9135,0.0865,0,0.7981,0,0.2019
21074D-06-284,0.0322626,-0.0539364,0.000609824,RB004_AG1,0.8807,33700486,lecontei,Wisconsin_Rapids,WI,North,44.349528,-89.822306,jack,larva,0.347645187,0.258383033,-0.388754195,135,90,30.56187,17.9,0.028123777,0.04988421,lecontei_WI,0,1,0,1,0,0,0.89,0,0,0.11
21074D-06-285,-0.0867564,-0.00620069,0.00314342,RB007_AG1,0.96105,38685686,pinetum,Skinner,ME,Central,45.439538,-70.611534,white,larva,3.120205475,-0.143618227,0.119194091,160,105,30.6106,17.1,0.065655956,0.107446176,pinetum_ME,0.0078,0.0078,0.9922,7.00E-04,0.9523,0.047,0,0.8991,0.0027,0.0982
21074D-06-286,0.0231529,0.0693998,-0.00414677,RB017_AG1,0.96795,36100408,lecontei,Lexington,KY,Central,37.983767,-84.510784,mugo,larva,-2.18323796,-0.398404907,0.368034189,37,32,13.79434,19.4,0.016947679,0.158430775,lecontei_KY,0,1,0,0.0898,0,0.9102,0,0,0.9752,0.0248
21074D-06-287,0.0233534,0.00991796,-0.000232201,RB018_AG1,0.9705,34352488,lecontei,Dorchester,NH,Central,43.797104,-71.915259,red,larva,1.581348865,-0.451473128,0.405781916,122,81,19.98732,18.1,0.032470575,0.129364136,lecontei_NH,0.0052,0.9948,0.0052,0.4666,0,0.5334,0.3244,0,0.1873,0.4883
21074D-06-288,0.0226345,0.0628228,-0.00359731,RB020_AG1,0.9645,34767814,lecontei,Keavy,KY,Central,37.066,-84.159,shortleaf,larva,-0.322605533,-1.016543642,0.298274866,23,21,16.65576,18.4,0.024269617,0.16435176,lecontei_KY,0,1,0,0.1055,0,0.8945,0.0038,0,0.8231,0.1731
21074D-06-193,0.0217562,0.0685062,-0.00246545,RB022_AG1,0.9632,35455596,lecontei,Lexington,KY,Central,38.0235,-84.494056,austrian,adultF,-2.291005341,-0.334606484,0.376932073,44,32,14.58112,18.5,0.025375636,0.151460641,lecontei_KY,0.0188,0.9812,0.0188,0.0882,0.011,0.9008,0,0.0112,0.9696,0.0192
21074D-06-194,0.0210997,0.0377485,-0.00188453,RB025_AG1,0.89965,33507212,lecontei,Pottersdale,PA,Central,41.26825,-78.279778,mugo,larva,0.912208174,-1.212049578,0.677683774,93,66,25.33002,17.3,0.039106685,0.061286139,lecontei_PA,0.0067,0.9933,0.0067,0.2433,2.00E-04,0.7565,0.0898,0,0.3711,0.539
21074D-06-195,0.0203584,0.0418911,-0.00129189,RB026_AG1,0.8193,28219752,lecontei,Amelia,VA,Central,37.333041,-77.980957,loblolly,larva,1.072110682,-0.876607215,0.566359856,28,25,19.6428,13.6,0.166419543,0.140724947,lecontei_VA,0.0059,0.9941,0.0059,0.1971,0,0.8029,0.0305,0,0.2983,0.6712
21074D-06-196,0.0202721,0.0381031,-0.00137255,RB028_AG1,0.90035,35633340,lecontei,Washington,NJ,Central,39.690281,-74.593048,pitch,adultF,2.297467871,0.087085579,0.464645539,82,56,15.34707,16.9,0.10819661,0.151050383,lecontei_NJ,0.0088,0.9912,0.0088,0.2256,0,0.7744,0.0511,0,0.272,0.6769
21074D-06-197,0.0234265,0.0680893,-0.0043633,RB040_AG1,0.92165,33303184,lecontei,Lexington,KY,Central,38.209167,-84.389889,scots,larva,-2.261533188,-1.54870313,0.363316169,60,37,15.3792,18.2,0.031659172,0.138278452,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9522,0.0477
21074D-06-198,0.0235126,0.0705631,-0.00451731,RB042_AG1,0.965,36131170,lecontei,Lexington,KY,Central,38.0235,-84.494056,austrian,larva,-2.291005341,-0.334606484,0.376932073,44,32,13.82604,19,0.025206594,0.135956003,lecontei_KY,0,1,0,0.09,0,0.91,0,0,0.9968,0.0031
