ind,genPC1_LecPine,genPC2_LecPine,genPC3_LecPine,ID,avg_perc_PP_reads_mapped,MERGED_FINAL_read_count,species,city,state,area,latitude,longitude,host,stage,lcPC1,lcPC2,change_tmax,site_number,grouped_site_number_5km,allele_imbalance,average_depth_coverage,missingness,heterozygosity,pop,admix_prop_k2,lec_blue_k2,pine_orange_k2,lec_blue_k3,pine_orange_k3,lec_purple_k3,lec_blue_k4,pine_orange_k4,lec_purple_k4,lec_green_k4
21074D-06-96,0.0308301,-0.0473806,0.000638182,CAN013_AG1,0.94505,41380084,lecontei,Ontario,CAN,North,45.316111,-77.764444,red,larva,0.847926327,-0.036962924,0.755599259,159,104,17.2025,22,0.007191534,0.077553999,lecontei_CAN,0,1,0,0.957,0,0.043,0.8806,0,0.0144,0.105
21074D-06-97,0.0307617,-0.0471205,0.000544508,CAN019_AG1,0.94965,41609270,lecontei,Ontario,CAN,North,45.316111,-77.764444,red,larva,0.847926327,-0.036962924,0.755599259,159,104,20.98051,22.1,0.00600824,0.061116105,lecontei_CAN,0,1,0,0.956,0,0.044,0.8801,0,0.0148,0.1051
21074D-06-98,0.0307308,-0.0473471,0.000631851,CAN021_AG1,0.96055,44601752,lecontei,Ontario,CAN,North,45.482778,-77.675278,red,larva,0.734352557,0.477083686,0.793153409,161,106,16.39513,23.4,0.002936503,0.082963171,lecontei_CAN,0,1,0,0.956,0,0.044,0.8798,0,0.0148,0.1054
21074D-06-100,0.0308202,-0.0465169,0.000449539,CAN023_AG1,0.87105,41354244,lecontei,Ontario,CAN,North,45.482778,-77.675278,red,larva,0.734352557,0.477083686,0.793153409,161,106,17.99297,22,0.005472135,0.082922162,lecontei_CAN,0,1,0,0.9525,0,0.0475,0.8752,0,0.016,0.1089
21074D-06-101,0.0309405,-0.0457758,0.000567047,CAN026_AG1,0.9426,41396952,lecontei,Ontario,CAN,North,45.486389,-77.672222,red,larva,0.792448092,0.413238987,0.829572014,163,106,20.89417,22.2,0.005476964,0.055231528,lecontei_CAN,0,1,0,0.947,0,0.0529,0.8678,0,0.0178,0.1144
21074D-06-104,0.030728,-0.0463937,0.000572371,CAN036_AG1,0.95655,46056408,lecontei,Ontario,CAN,North,45.797778,-77.191944,red,larva,-0.14381617,-0.344307228,1.056025069,169,112,17.27927,24.3,0.002221696,0.067399523,lecontei_CAN,0,1,0,0.9497,0,0.0503,0.8717,0,0.017,0.1113
21074D-06-105,0.0305194,-0.0455942,0.000503934,CAN037_AG1,0.9073,36075180,lecontei,Ontario,CAN,North,45.833611,-77.236944,red,larva,0.219582987,-0.311333797,1.071986628,170,113,25.39796,18.5,0.024173022,0.062362654,lecontei_CAN,0,1,0,0.9459,0,0.0541,0.8657,0,0.0182,0.1161
21074D-06-106,0.0307203,-0.0462675,0.000385884,CAN038_AG1,0.9851,44965802,lecontei,Ontario,CAN,North,45.833611,-77.236944,red,larva,0.219582987,-0.311333797,1.071986628,170,113,18.31419,23,0.00299929,0.067471467,lecontei_CAN,0,1,0,0.9493,0,0.0507,0.8707,0,0.0171,0.1122
21074D-06-108,0.0312639,-0.0493209,0.000573573,CAN040_AG1,0.89085,39598576,lecontei,Ontario,CAN,North,46.288333,-78.811667,red,larva,1.430902552,-0.017361871,0.892101667,186,119,32.94981,19.7,0.014122261,0.036938151,lecontei_CAN,0,1,0,0.976,0,0.024,0.9018,0,0.0077,0.0905
21074D-06-109,0.0323419,-0.0568542,0.000783543,CAN043_AG1,0.97915,39703902,lecontei,Grayling,MI,North,44.600556,-84.711944,jack,larva,3.303915382,-0.722322512,0.106261438,140,94,20.97585,20.8,0.007775937,0.065143425,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-110,0.03232,-0.0566464,0.000955868,CAN044_AG1,0.97175,43229156,lecontei,Grayling,MI,North,44.600556,-84.711944,jack,larva,3.303915382,-0.722322512,0.106261438,140,94,22.92003,23,0.003805862,0.048176825,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-111,0.0323636,-0.0571521,0.000797115,CAN048_AG1,0.972,43349064,lecontei,Grayling,MI,North,44.657029,-84.695521,red,larva,3.266249351,-0.356974227,0.129370011,146,95,19.75373,22.8,0.003525735,0.062291888,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-112,0.0323581,-0.0569103,0.000820546,CAN049_AG1,0.97595,43623386,lecontei,Grayling,MI,North,44.657029,-84.695521,red,larva,3.266249351,-0.356974227,0.129370011,146,95,20.60162,23,0.003356693,0.055773089,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-113,0.032334,-0.0571203,0.000841438,CAN051_AG1,0.9758,40975246,lecontei,Grayling,MI,North,44.657029,-84.695521,scots,larva,3.266249351,-0.356974227,0.129370011,146,95,21.09299,21.7,0.007645533,0.061591699,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-114,0.0323574,-0.0568448,0.000824648,CAN054_AG1,0.9802,43230188,lecontei,Grayling,MI,North,44.657029,-84.695521,jack,larva,3.266249351,-0.356974227,0.129370011,146,95,20.50315,22.9,0.003250438,0.056716866,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-115,0.0323907,-0.056856,0.000869107,CAN055_AG1,0.9463,39470974,lecontei,Grayling,MI,North,44.657029,-84.695521,jack,larva,3.266249351,-0.356974227,0.129370011,146,95,21.80217,21,0.006621621,0.058873579,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-116,0.032361,-0.0566932,0.000787683,CAN057_AG1,0.956,39693804,lecontei,Tustin,MI,North,44.121667,-85.470833,jack,larva,1.750940629,-0.457865203,0.540974295,128,86,22.15486,21.3,0.00985274,0.062080201,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-117,0.0323857,-0.0570371,0.000806446,CAN059_AG1,0.8744,37266804,lecontei,Bitely,MI,North,43.758889,-85.740556,scots,larva,1.307656532,-0.645599531,0.420259199,108,80,23.62521,20,0.012200011,0.060296397,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-118,0.0324198,-0.0566393,0.000938237,CAN060_AG1,0.9573,40075594,lecontei,Bitely,MI,North,43.789444,-85.740278,scots,larva,1.55982477,-0.964349086,0.442582105,119,80,22.17538,21.2,0.006500877,0.060203303,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-119,0.032295,-0.0561552,0.000834602,CAN061_AG1,0.71675,31382066,lecontei,Bitely,MI,North,43.789444,-85.740278,jack,larva,1.55982477,-0.964349086,0.442582105,119,80,31.39373,16.1,0.062835367,0.059405583,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-120,0.032369,-0.0569936,0.000820501,CAN062_AG1,0.83075,49530176,lecontei,Bitely,MI,North,43.769167,-85.741389,jack,larva,1.324552353,-0.798214577,0.441050202,114,80,19.96211,26.2,0.004998817,0.051375149,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-121,0.0322859,-0.0542457,0.000638204,CAN098_AG1,0.98005,43002504,lecontei,Black_River_Falls,WI,North,44.33459167,-90.72986389,jack,larva,2.668017079,-0.313953298,-0.25449845,134,89,24.082,22,0.006935556,0.050347011,lecontei_WI,0,1,0,1,0,0,0.89,0,0,0.11
21074D-06-122,0.0322661,-0.0564834,0.000810326,CAN099_AG1,0.9787,49063460,lecontei,Manistee,MI,North,43.79946944,-85.73645,red,larva,1.743696758,-0.936288929,0.463267217,123,80,18.50478,25.7,0.001410294,0.059978622,lecontei_MI,0,1,0,1,0,0,1,0,0,0
21074D-06-123,0.0322816,-0.0566024,0.000851191,CAN100_AG1,0.961,48879292,lecontei,Grayling,MI,North,44.70448611,-84.9063,jack,larva,2.057136395,-0.990072906,-0.056875902,148,97,19.51692,25.8,0.001970548,0.054780997,lecontei_MI,0,1,0,1,0,0,0.9997,0,0,3.00E-04
21074D-06-124,0.0318005,-0.0551701,0.000527787,CAN101_AG1,0.9589,46447240,lecontei,Manistique,MI,North,45.92354722,-86.30213056,jack,larva,-0.286627493,3.932947827,0.107906694,175,115,20.74953,25.1,0.002424547,0.054820452,lecontei_MI,0,1,0,1,0,0,0.9046,0,0,0.0954
21074D-06-125,0.032169,-0.0549342,0.000596355,CAN107_AG1,0.9676,46709694,lecontei,Warrens,WI,North,44.130225,-90.39338611,jack,larva,0.741679094,1.409601421,-0.429990443,129,87,21.92611,24.8,0.001859463,0.047686099,lecontei_WI,0,1,0,1,0,0,0.89,0,0,0.11
21074D-06-126,0.023612,0.0719784,-0.00467045,LL002_AG1,0.9218,45451242,lecontei,Lexington,KY,Central,38.014,-84.504,shortleaf,larva,-2.265811222,-0.288857847,0.378060503,41,32,11.52991,23.7,0.002685355,0.162383228,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-127,0.0230186,0.0690184,-0.0039814,LL005_AG1,0.98755,48140076,lecontei,Lexington,KY,Central,38.014,-84.504,pitch,larva,-2.265811222,-0.288857847,0.378060503,41,32,11.63811,23.4,0.002617738,0.158716169,lecontei_KY,0.0017,0.9983,0.0017,0.0898,0,0.9102,0,0,0.9834,0.0166
21074D-06-128,0.0224459,0.0616963,-0.00325943,LL010_AG1,0.9871,46338750,lecontei,Bronston,KY,Central,36.9279046,-84.619317,virginia,larva,0.266575774,0.270438672,0.399176377,20,18,10.48107,24.2,0.003192481,0.170058337,lecontei_KY,0,1,0,0.1068,0,0.8932,0.0042,0,0.7916,0.2042
21074D-06-129,0.0226845,0.0627397,-0.00363057,LL013_AG1,0.98155,40639544,lecontei,London,KY,Central,37.071333,-84.211417,shortleaf,larva,0.556209491,-0.574750832,0.280500819,24,21,12.1874,21.6,0.006993514,0.161390266,lecontei_KY,0,1,0,0.1041,0,0.8959,0.0037,0,0.8266,0.1697
21074D-06-130,0.0225294,0.0626457,-0.00371394,LL014_AG1,0.95525,42334680,lecontei,London,KY,Central,37.071333,-84.211417,shortleaf,larva,0.556209491,-0.574750832,0.280500819,24,21,12.87388,21.6,0.008273404,0.139186504,lecontei_KY,0,1,0,0.1041,0,0.8959,0.0041,0,0.8281,0.1677
21074D-06-131,0.0237192,0.0726615,-0.00475173,LL028_AG1,0.91285,37845106,lecontei,Lexington,KY,Central,38.014,-84.504,shortleaf,larva,-2.265811222,-0.288857847,0.378060503,41,32,17.41043,19.8,0.013006583,0.110669616,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-132,0.0204014,0.0361204,-0.00156798,LL031_AG1,0.9385,40813436,lecontei,Piscataway,NJ,Central,40.54955,-74.430806,scots,larva,-2.0120483,-0.295593523,1.109541624,89,62,13.43208,21.6,0.007099769,0.154072157,lecontei_NJ,0.0088,0.9912,0.0088,0.244,2.00E-04,0.7559,0.0748,0,0.2848,0.6404
21074D-06-133,0.0203761,0.0428232,-0.00120078,LL042_AG1,0.90725,38122120,lecontei,Amelia,VA,Central,37.249044,-77.725283,shortleaf,larva,4.608109961,-0.727177091,0.628436011,26,23,14.98976,19.1,0.016783467,0.162314441,lecontei_VA,0.0061,0.9939,0.0061,0.1924,0,0.8075,0.029,0,0.3028,0.6681
21074D-06-134,0.0236293,0.0707103,-0.00457237,LL053_AG1,0.9608,40403890,lecontei,Lexington,KY,Central,38.014,-84.504,virginia,larva,-2.265811222,-0.288857847,0.378060503,41,32,12.9705,21.2,0.008828828,0.158068619,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
21074D-06-135,0.0235263,0.0719024,-0.00465787,LL062_AG1,0.9809,40370062,lecontei,Lexington,KY,Central,38.014,-84.504,shortleaf,larva,-2.265811222,-0.288857847,0.378060503,41,32,13.02891,21.5,0.009809272,0.153498717,lecontei_KY,0,1,0,0.09,0,0.91,0,0,1,0
