ID,centroid_size_right,Comp1,Comp2,Comp3,Comp4,Comp5,Cutwindow_length_right,Sut1_length_right,Sut2_length_right,Sut3_length_right,Sut4_length_right,Sut5_length_right,Sut6_length_right,Arc1_width_right,Arc2_width_right,Arc3_width_right,Arc4_width_right,Arc5_width_right,Arc6_width_right,Rightface_len,cut_edge_length,window_to_edge1,window_to_edge2,Intersect_to_top_dist_right,dist_arc2_arc3_right,dist_arc3_arc4_right,dist_arc4_arc5_right,Rightface_height1,Rightface_height2,Rightface_height3,Rightface_height4,Rightface_height5,Rightface_height6,Rightface_height7,cutting_depth1,cutting_depth2,rail_length,window_to_rail
LBX009V10,2.012595257,0.024093029,-0.010341545,0.002598628,0.006644845,-0.00599147,0.49879988,0.210601614,0.12683442,0.107869041,0.080901051,0.052328959,0.074791443,0.122601998,0.118119643,0.105801701,0.085008823,0.076450507,0.072327934,1.29493869,0.260866939,0.294492818,0.213407263,0.056819803,0.090588355,0.099950488,0.072591597,0.212563496,0.210692406,0.215440061,0.216953497,0.241722672,0.269981481,0.377155313,0.0695829,0.069407564,0.948437367,0.158364043
LBX009V15,2.129451438,-0.00536603,-0.007231939,-0.01535428,0.008079102,-0.013841481,0.522808148,0.205160937,0.131359431,0.097896782,0.066702699,0.066034006,0.062949265,0.144746019,0.133976304,0.115626165,0.067901841,0.090227767,0.078702287,1.332549534,0.251370503,0.299778752,0.227536722,0.053445299,0.126113798,0.092413094,0.0842038,0.204400881,0.218619784,0.209801859,0.2200649,0.233018883,0.260058224,0.383882339,0.061504227,0.071957557,0.988687413,0.154740105
LBX009V17,2.125139559,-0.00783441,-9.88E-05,-0.02419925,0.002287303,-0.003957559,0.522308357,0.19605971,0.121847651,0.089323513,0.063155126,0.054247304,0.070193447,0.149564735,0.132263865,0.110491357,0.084902886,0.074384541,0.071487062,1.349876635,0.261031512,0.319114917,0.222713381,0.056125752,0.119344292,0.092468914,0.083699701,0.203125798,0.203485257,0.205600219,0.21109062,0.223481655,0.256566911,0.399118291,0.070389559,0.07221918,0.986009559,0.149463307
LBX009V21,2.095521619,-0.019139183,-0.00698695,-0.009869545,0.001762709,-0.00505729,0.496945923,0.19928595,0.122059043,0.091198794,0.06222387,0.05460586,0.073575607,0.140265926,0.122479468,0.106997617,0.077707786,0.081152757,0.067980144,1.339918225,0.238749785,0.296437734,0.216392652,0.054720563,0.11330887,0.098104077,0.078885043,0.193778353,0.200848799,0.201831241,0.210385266,0.222349814,0.256140606,0.38993016,0.065268139,0.070777751,0.966904525,0.148708709
LBX009V22,2.064142,-0.021136452,-0.02347817,-0.01160702,0.000183384,0.010435415,0.46932558,0.196297173,0.111456942,0.075246927,0.046481179,0.052790245,0.051177827,0.148937571,0.147097009,0.08002106,0.073157911,0.083577569,0.071900626,1.313270517,0.238450938,0.310731476,0.239977207,0.074856195,0.117052211,0.088157189,0.086494682,0.194829207,0.204132555,0.195186577,0.196372834,0.217371686,0.251558045,0.394431046,0.063841836,0.069091968,0.955214159,0.152147856
LBX009V23,2.07754661,-0.013305315,-0.004827117,-0.017188819,-0.003552551,0.005027016,0.498896462,0.200527504,0.123062586,0.095277699,0.059738514,0.043993636,0.074857799,0.1608,0.101973526,0.11431929,0.070173001,0.082460233,0.070572587,1.313718334,0.245690578,0.301764826,0.230488611,0.058841142,0.119393216,0.092815193,0.075804551,0.19690579,0.197746226,0.197696839,0.21109036,0.21273648,0.256087641,0.395595677,0.07377242,0.077847286,0.960381055,0.154640777
LBX009V27,2.015299252,0.005228585,0.012915644,-0.013021335,-9.36E-06,0.012841062,0.490015061,0.224282144,0.137024742,0.105996462,0.065852714,0.045425213,0.066493007,0.135904452,0.12194466,0.117105166,0.085201467,0.069255253,0.06375202,1.303907547,0.241127622,0.304699852,0.225205551,0.056272284,0.11378405,0.091052732,0.08328037,0.210446003,0.204384001,0.207003019,0.225307545,0.246478173,0.285792407,0.392695302,0.068010881,0.069901931,0.895178714,0.158978646
LBX010V01,2.04676926,0.014049016,-0.014972092,0.02088595,0.004681514,-0.00353699,0.503418762,0.185496334,0.124058454,0.096097711,0.055418769,0.041070671,0.07194755,0.122285322,0.130783065,0.103803709,0.078507197,0.069550126,0.064365363,1.314545655,0.247485313,0.301543894,0.226475716,0.067604734,0.118420015,0.091737233,0.076412892,0.210761714,0.206603122,0.204159668,0.210831046,0.22853678,0.253767157,0.403853934,0.057076878,0.067808333,0.955413303,0.165808594
LBX010V02,2.005720586,0.000935484,-0.003904342,0.008575614,-0.003584773,0.007892994,0.478570716,0.196157003,0.114859566,0.090462921,0.06201008,0.051720112,0.067224177,0.116536089,0.113019512,0.105246568,0.083076471,0.064088767,0.072465854,1.2805164,0.245117523,0.28442477,0.206434614,0.055117692,0.11303066,0.089670619,0.073026297,0.212537079,0.207222224,0.206985241,0.211346942,0.227001189,0.25182347,0.393689535,0.05164804,0.063955766,0.945453595,0.155508006
LBX010V03,1.992785948,0.005086413,-0.009084587,0.014083991,0.003825494,-0.000649481,0.491832248,0.197037687,0.126063833,0.092052648,0.064626001,0.050483364,0.072036727,0.157081508,0.12010816,0.100269487,0.080907478,0.06209839,0.063709497,1.272104119,0.253401993,0.283813548,0.201521438,0.062004597,0.102447694,0.089839078,0.079114221,0.221725619,0.210075724,0.209278308,0.206095754,0.225411845,0.260955169,0.376475125,0.065180519,0.055834219,0.921175694,0.160468564
