ID,species,centroid_size_bottom,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29,Comp30,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,cut_edge_length_bot,noncut_edge_length_bot1,noncut_edge_length_bot2,distance_to_tip,inner_angle,left_width_sut8,left_width_sut7,right_width_sut8,right_width_sut7,bottom_width
LBX001V08,LBX,0.506182025,-0.231740742,-0.039799655,0.01705933,-0.049195349,-0.023860314,-0.001390952,0.008653684,-0.008397613,-0.014432746,0.010463569,0.006837371,0.004858944,-0.015132893,-0.001397413,-0.013207148,-0.013888154,-0.001234468,-0.001484986,-0.002299929,-0.007342411,-0.000629324,0.004611435,-0.000741283,0.00584908,-0.002746513,-0.005649064,0.005445698,0.002386283,-0.002332491,0.000929752,2.7843,1.1305,2.5363,1.1293,2.4802,1.1257,2.4148,1.1214,2.3396,1.1088,2.5464,1.19,2.4856,1.1782,2.429,1.1748,2.5219,1.1947,2.4265,1.1996,2.4876,1.2055,2.5467,1.2017,2.7093,1.2478,2.523,1.2433,2.4691,1.2519,2.4079,1.2548,2.3296,1.2591,0.245227772,0.169008787,0.172850369,0.139227476,33.57755737,0.05178803,0.067454058,0.070439336,0.070938354,0.114773211
LBX001V10,LBX,0.575660888,-0.323531157,0.09199321,0.044085276,-0.052014208,-0.004679795,-0.011645701,-0.015803489,-0.006352556,-0.009910908,0.009573424,-0.001028554,-0.013601061,-0.001252669,-0.00881748,-0.006514815,-0.011176528,0.002845249,-0.001264809,-0.006157741,0.005025442,0.000368891,-0.001010454,-0.009501741,0.003084002,0.003959788,-0.003975369,0.001704318,-0.001054953,-0.005497388,0.00181367,2.7713,1.1683,2.4863,1.1577,2.4191,1.1429,2.3474,1.1354,2.2573,1.1273,2.5523,1.2157,2.4515,1.199,2.3894,1.1936,2.5317,1.2175,2.3882,1.2235,2.4608,1.2314,2.5526,1.2226,2.6758,1.2566,2.4773,1.2638,2.4155,1.2717,2.3421,1.2767,2.2544,1.281,0.224070882,0.127805477,0.130096349,0.130065906,30.53616018,0.036359455,0.055394314,0.054006759,0.058758659,0.106481031
LBX001V12,LBX,0.481950122,-0.262581091,-0.015505084,0.022576103,-0.052016412,-0.008023711,-0.006563005,-0.056030832,0.05097001,-0.078790676,-0.095833118,0.047266618,0.018312704,0.017436916,0.031753033,0.005198623,0.005883131,0.000130742,-0.006579484,0.004233939,-0.002527883,0.001552032,-0.006297169,0.008306865,0.007222757,0.004815799,0.00024812,0.001475576,0.002216712,-0.00066675,0.001336503,2.7087,1.1715,2.4748,1.1559,2.4094,1.1462,2.3463,1.1348,2.2745,1.1251,2.4842,1.2069,2.3691,1.1832,2.4213,1.1868,2.4666,1.2077,2.3684,1.2044,2.4241,1.2113,2.4844,1.2141,2.6183,1.2609,2.4594,1.2537,2.4059,1.2581,2.3393,1.2663,2.2735,1.2774,0.227273866,0.141843047,0.144564207,0.127139766,30.8947162,0.055171098,0.065497634,0.109168585,0.042308037,0.09900505
LBX001V13,LBX,0.447976568,-0.035883096,0.01194856,-0.026030465,-0.000932297,0.023150912,-0.021352041,-0.05551755,-0.000389695,-0.001301751,0.008098078,0.001539611,1.40E-05,0.00050437,-0.00099343,-0.004207541,-0.004930761,0.000784404,0.000120189,0.004573881,0.008081493,0.002898619,-0.000349358,0.001880931,-0.003012383,-0.002384528,0.008993582,0.001084882,-0.002835315,-0.004248315,-0.000639639,2.742,1.1487,2.5316,1.1372,2.4712,1.1242,2.4141,1.1134,2.3396,1.1088,2.5324,1.1936,2.5058,1.1828,2.4518,1.1742,2.4324,1.1872,2.4561,1.1936,2.5036,1.1951,2.5324,1.1939,2.6586,1.2382,2.5205,1.2429,2.4734,1.2537,2.4173,1.2594,2.3479,1.2675,0.214355243,0.133749505,0.133849169,0.122334827,31.55480281,0.050699606,0.062540387,0.052392748,0.053631707,0.106281231
LBX001V15,LBX,0.470702401,0.011570224,-0.039139494,0.028600695,0.00893744,0.012816659,0.026334289,-0.039196364,0.002411301,0.011756646,-0.008318131,-0.003574174,-0.00758527,-0.001730523,-0.003508507,-0.005120157,0.000818531,-0.001585935,0.00253211,-0.00882386,-0.006961943,-0.006059188,-3.18E-05,-0.005121687,-6.58E-05,0.00090788,0.000741589,-0.001024572,0.001266382,0.004667414,0.000767674,2.7799,1.123,2.5475,1.1145,2.491,1.1106,2.4263,1.1027,2.3587,1.0998,2.5463,1.1659,2.5144,1.1562,2.4563,1.1559,2.4194,1.1656,2.4626,1.1785,2.518,1.1771,2.5465,1.1695,2.7017,1.2238,2.5514,1.2224,2.496,1.2296,2.4392,1.2382,2.3723,1.2461,0.237506568,0.164424846,0.165835973,0.127576957,30.84099178,0.05628188,0.061047277,0.053240023,0.057062948,0.107970459
LBX001V18,LBX,0.48981108,-0.26269726,0.04283195,-0.011032396,-0.034007881,-0.025274394,0.003076598,-0.031531428,0.003615824,0.013888803,0.005563386,-0.004718391,-0.024017553,0.004534534,0.013893889,0.003115427,0.005849434,0.010990406,-0.000457187,0.012210665,-0.0210267,0.000232523,0.001761164,-0.00259721,-0.002857279,-0.000623785,-0.006354347,0.003331022,-0.000800981,-0.004853838,-9.49E-05,2.7614,1.1584,2.5264,1.1516,2.4633,1.144,2.3857,1.1348,2.3274,1.1192,2.5577,1.2052,2.4881,1.1882,2.4335,1.1821,2.5316,1.2087,2.4396,1.217,2.4989,1.2256,2.5577,1.219,2.6758,1.2648,2.5213,1.2594,2.4682,1.2643,2.4099,1.2691,2.3274,1.2735,0.209007009,0.126669846,0.132286696,0.136558852,39.71725712,0.040548736,0.055274316,0.052975938,0.048369929,0.107920573
LBX001V27,LBX,0.48490973,-0.274411181,0.036436429,0.000941076,-0.032751576,-0.013528057,0.000951258,-0.034211647,-0.015765974,0.017618104,0.011783335,7.40E-05,-0.007598868,-0.004142164,0.000644867,0.017527803,-0.000301413,-0.001074085,-0.009014521,0.004015987,0.001790106,-0.004472569,0.007220072,0.004602337,0.004849452,-0.005751959,-0.000843263,0.000970493,0.001701307,-6.29E-05,-0.001374122,2.7573,1.1942,2.5248,1.1818,2.459,1.1728,2.3986,1.162,2.3279,1.1494,2.5569,1.2338,2.4914,1.2147,2.4293,1.2109,2.5334,1.2395,2.4331,1.246,2.4973,1.2481,2.5572,1.248,2.678,1.295,2.5111,1.2828,2.4594,1.2914,2.4011,1.2979,2.335,1.3051,0.204275109,0.12962114,0.13568585,0.128254162,37.98846384,0.037343406,0.052467609,0.046882513,0.048308384,0.101924923
LBX001V29,LBX,0.468422529,0.017189252,-0.055840967,0.012940664,-0.040021417,0.042220764,-0.00586248,-0.016339925,-0.012815372,-0.005751386,-0.002776411,-0.018634831,0.004064203,-0.00225529,-0.000979419,0.003679825,-0.001320379,-0.012401752,-0.009747367,0.003167233,-0.003473561,-0.004669134,0.002828322,0.001851386,0.000770983,-0.00454954,-0.002605368,-0.000836339,0.001062125,0.000780842,1.30E-06,2.7735,1.0933,2.5405,1.0992,2.4833,1.0955,2.4245,1.0883,2.3547,1.0778,2.5234,1.1566,2.5126,1.1455,2.454,1.144,2.4166,1.1602,2.4543,1.1688,2.5137,1.1656,2.5234,1.1569,2.6953,1.1864,2.5367,1.1994,2.4813,1.2123,2.427,1.2271,2.3644,1.2382,0.25798624,0.174412901,0.174463893,0.121584744,24.03808157,0.040883248,0.051198144,0.054056452,0.056663392,0.10027203
LBX001V30,LBX,0.448175869,0.06675707,-0.161741855,0.024927036,-0.02679338,0.069375096,-0.0159712,0.011011397,0.152637886,0.025574627,0.076499942,0.023594837,-0.002926709,0.015600748,0.008250669,-0.009782342,-0.004024123,-0.010541045,-0.007234292,-0.002847801,0.005908613,0.001708217,-0.001120189,0.001559951,0.001430783,0.009224436,-0.001871176,0.002331135,0.000372821,-0.000110532,-0.001200601,2.6828,1.1025,2.4615,1.1117,2.4083,1.1073,2.358,1.1001,2.294,1.0901,2.427,1.1721,2.4263,1.1505,2.3731,1.1512,2.3141,1.1706,2.4141,1.1879,2.3486,1.1872,2.4269,1.1723,2.6046,1.2012,2.4669,1.2091,2.4148,1.2141,2.3554,1.2289,2.3004,1.2411,0.265099604,0.180034719,0.179968247,0.125924303,24.52630312,0.120310016,0.026209349,0.052387785,0.056269441,0.097549577
LBX001V31,LBX,0.493844929,-0.260139399,-0.008111354,0.040734722,-0.048892446,-0.014296765,-0.030146313,-0.026818666,-0.010112068,0.010336225,0.010370091,-0.000580255,-0.005629116,-0.002445211,-0.009538226,0.003108714,-0.003706809,0.002868206,-0.015787086,0.003052503,-0.003611717,-0.001745124,0.003886794,0.00499979,0.002112561,-0.000184239,0.000831283,-0.005436438,-0.000305159,-0.000176019,-0.00069963,2.756,1.1472,2.5061,1.1408,2.4439,1.1325,2.3839,1.1232,2.3152,1.1134,2.5334,1.1954,2.4644,1.1785,2.4022,1.1778,2.5076,1.2001,2.4026,1.2069,2.4644,1.2059,2.5338,1.2059,2.6676,1.2357,2.495,1.24,2.4468,1.2479,2.3867,1.263,2.3155,1.2731,0.227758644,0.137078372,0.140120413,0.12508721,28.9326575,0.0458167,0.060287976,0.056215478,0.061570935,0.099819086
