ID,species
PBX013V06,PBX
PBX013V09,PBX
PBX013V11,PBX
PBX013V13,PBX
PBX013V14,PBX
PBX013V15,PBX
PBX013V17,PBX
PBX013V18,PBX
PBX013V19,PBX
PBX013V21a,PBX
PBX013V22,PBX
PBX013V23,PBX
PX013xNP060-V2,Pinetum
PX013xNP060-V4,Pinetum
PX013xNP060v4-2,Pinetum
PX013xNP086-1,Pinetum
PX013xNP097-1,Pinetum
PX013xPX012-1,Pinetum
PX014xNP012-5,Pinetum
PX014xNP060-V4,Pinetum
PX014xNP060v2-2,Pinetum
PX014xNP060v4-2,Pinetum
PX014xNP068-V1-2,Pinetum
PX014xNP068v1-1,Pinetum
PX014xNP072-1,Pinetum
PX014xNP072-2,Pinetum
PX014xNP072-36,Pinetum
PX014xNP072-3A,Pinetum
PX014xNP072-4,Pinetum
PX014xNP072-6,Pinetum
RX001-V06,F1
RX001-V5,F1
RX001-V6,F1
RX001-V8,F1
RX001v4,F1
RX001v7,F1
RX004-V1,F1
RX005-V1,F1
RX005-V2,F1
RX006-V1,F1
RX006-V2,F1
RX006-V3,F1
RX008-V2,F1
RX008-V3,F1
RX008-V4,F1
RX008V06,F1
RX008V07,F1
RX009-V4,F1
RX009-V9,F1
RX009V01,F1
RX010-V1,F1
RX010-V2,F1
RX010-V3,F1
RX011-V1,F1
RX013xINV7-1-V17,LBX
RX013xINV7-1-V18,LBX
RX013xINV7-1-V22,LBX
RX013xINV7-1-V23,LBX
RX013xINV7-1-V24,LBX
RX013xINV7-1-V26,LBX
RX013xINV7-1-V27,LBX
RX013xINV7-1-V28,LBX
RX013xINV7-1-V31,LBX
RX013xINV7-1-V32,LBX
RX013xINV7-1-V35,LBX
RX013xINV7-1-V36,LBX
RX013xINV7-1-V38,LBX
RX013xINV7-1-V39,LBX
